Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
5751.00 1308.13 80.505348 0.0007651065195387 0.000896 203.588542 -1021762.879592 25.206206 103.398614 -18.632036 1200.015039 -7.935 -7.935 2.727106 3.194289 2.093 0 0.000
5501.00 1306.84 80.505348 0.0041366657813286 0.004854 203.588542 -1022393.266162 25.224860 103.484523 -19.022225 1202.361492 -7.899 -7.899 2.720098 3.193807 2.132 0 0.000
5251.00 1305.52 80.505348 0.0075954267979305 0.008928 203.588542 -1023024.129444 25.244341 103.570913 -19.435641 1204.745971 -7.862 -7.862 2.712983 3.193334 2.172 0 0.000
5001.00 1304.18 80.505348 0.0111422784603230 0.013122 203.588542 -1023655.490389 25.264685 103.657733 -19.873458 1207.157011 -7.826 -7.826 2.705802 3.192869 2.212 0 0.000
4751.00 1302.83 80.412460 0.0136119830953229 0.016063 203.335416 -1023126.434168 25.251381 103.600902 -20.176299 1207.492472 -7.790 -7.790 2.698560 3.192410 2.252 0 0.000
4501.00 1301.47 80.119078 0.0136145918001472 0.016107 202.535463 -1020084.933588 25.163864 103.232864 -20.144143 1203.339683 -7.755 -7.755 2.691254 3.191959 2.292 0 0.000
4251.00 1300.12 79.826555 0.0136205461967075 0.016155 201.737376 -1017045.773930 25.076568 102.865103 -20.113043 1199.200424 -7.720 -7.720 2.683887 3.191513 2.332 0 0.000
4001.00 1298.76 79.534619 0.0136273877445693 0.016205 200.940413 -1014005.660027 24.989396 102.497221 -20.082603 1195.067837 -7.686 -7.686 2.676466 3.191074 2.372 0 0.000
3751.00 1297.41 79.243202 0.0136324093763498 0.016254 200.144385 -1010963.826014 24.902312 102.129083 -20.052420 1190.937671 -7.654 -7.654 2.668996 3.190641 2.411 0 0.000
3501.00 1296.05 78.952451 0.0136327702590076 0.016297 199.349701 -1007922.261125 24.815351 101.760838 -20.022103 1186.808610 -7.625 -7.625 2.661487 3.190214 2.450 0 0.000
3251.00 1294.70 78.662738 0.0136256866193588 0.016332 198.557390 -1004885.815667 24.728614 101.392939 -19.991298 1182.682527 -7.599 -7.599 2.653948 3.189792 2.488 0 0.000
3001.00 1293.35 78.374651 0.0136086920474565 0.016355 197.769074 -1001862.112143 24.642272 101.026135 -19.959718 1178.564576 -7.578 -7.578 2.646390 3.189377 2.525 0 0.000
2751.00 1292.00 78.088964 0.0135799363196072 0.016365 196.986893 -998861.194771 24.556560 100.661442 -19.927188 1174.463019 -7.561 -7.561 2.638826 3.188966 2.562 0 0.000
2501.00 1290.69 77.599399 0.0108062232757848 0.013065 195.645791 -993267.770450 24.392535 99.977952 -19.476150 1166.085212 -7.547 -7.547 2.631265 3.188557 2.597 0 0.000
2251.00 1289.37 77.536204 0.0134899162906788 0.016345 195.472586 -993075.458926 24.390650 99.954100 -19.862184 1166.454847 -7.542 -7.542 2.623727 3.188157 2.630 0 0.000
2001.00 1288.05 77.262876 0.0134242865677933 0.016309 194.723079 -990210.397605 24.308432 99.602780 -19.827106 1162.467019 -7.544 -7.544 2.616223 3.187761 2.662 0 0.000
1751.00 1286.75 76.995633 0.0133497979647371 0.016263 193.989920 -987416.429808 24.228013 99.258692 -19.791903 1158.544737 -7.552 -7.552 2.608768 3.187369 2.693 0 0.000
1501.00 1285.47 76.735108 0.0132697318688700 0.016209 193.274876 -984702.103706 24.149608 98.922795 -19.757112 1154.698156 -7.568 -7.568 2.601376 3.186981 2.720 0 0.000
1251.00 1284.20 76.481671 0.0131879800740606 0.016152 192.578994 -982072.652877 24.073353 98.595708 -19.723323 1150.934219 -7.590 -7.590 2.594058 3.186597 2.745 0 0.000
1001.00 1282.95 76.235386 0.0131087944316935 0.016097 191.902482 -979529.432745 23.999292 98.277652 -19.691135 1147.255883 -7.621 -7.621 2.586827 3.186217 2.767 0 0.000
751.00 1281.71 75.995992 0.0130366221866476 0.016051 191.244648 -977069.611369 23.927363 97.968409 -19.661124 1143.661668 -7.659 -7.659 2.579695 3.185841 2.786 0 0.000
501.00 1280.48 75.762890 0.0129760745981887 0.016017 190.603868 -974686.026228 23.857401 97.667309 -19.633836 1140.145452 -7.705 -7.705 2.572673 3.185471 2.801 0 0.000
251.00 1279.26 75.535136 0.0129320610389966 0.016004 189.977568 -972367.074248 23.789132 97.373220 -19.609800 1136.696352 -7.759 -7.759 2.565775 3.185107 2.811 0 0.000
1.00 1278.04 75.311425 0.0129101230948818 0.016016 189.362173 -970096.474142 23.722170 97.084529 -19.589659 1133.297741 -7.823 -7.823 2.559000 3.184750 2.816 0 0.000
